Table 510-60001 : Consumer Price Indices (October 2019 – September 2020 = 100),,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 , ,Composite Consumer Price Index,Composite Consumer Price Index,Composite Consumer Price Index,Consumer Price Index (A),Consumer Price Index (A),Consumer Price Index (A),Consumer Price Index (B),Consumer Price Index (B),Consumer Price Index (B),Consumer Price Index (C),Consumer Price Index (C),Consumer Price Index (C)
,,Index,Year-on-year % change,Month-to-month % change,Index,Year-on-year % change,Month-to-month % change,Index,Year-on-year % change,Month-to-month % change,Index,Year-on-year % change,Month-to-month % change
Year,Month,,,,,,,,,,,,
2017,,94.6,1.5,,94.6,1.5,,94.4,1.4,,94.6,1.5,
2018,,96.8,2.4,,97.2,2.7,,96.6,2.3,,96.7,2.2,
2019,,99.6,2.9,,100.5,3.3,,99.2,2.7,,99.1,2.6,
2020,,99.9,0.3,,99.8,-0.6,,99.8,0.6,,99.9,0.8,
2021,,101.4,1.6,,102.7,2.9,,100.8,1.0,,100.8,0.9,
2022,,103.3,1.9,,104.9,2.2,,102.5,1.7,,102.6,1.8,
2023,,105.5,2.1,,107.3,2.3,,104.6,2.0,,104.7,2.0,
2017,Jan,93.9,1.3,0.0,93.9,0.8,-0.1,93.8,1.3,0.0,94.0,1.7,0.1
2017,Feb,93.8,-0.1,-0.1,94.0,-0.6,0.1,93.7,0.0,-0.1,93.7,0.3,-0.3
2017,Mar,94.0,0.5,0.2,94.2,0.2,0.2,93.9,0.5,0.2,93.8,0.8,0.2
2017,Apr,94.5,2.0,0.6,94.6,2.2,0.4,94.4,1.9,0.6,94.5,2.0,0.7
2017,May,94.4,2.0,-0.1,94.5,2.3,-0.1,94.2,1.8,-0.2,94.4,1.9,-0.1
2017,Jun,94.3,1.9,-0.1,94.4,2.3,0.0,94.2,1.8,-0.1,94.3,1.8,-0.2
2017,Jul,94.7,2.0,0.4,94.7,2.5,0.3,94.6,1.8,0.4,94.8,1.7,0.5
2017,Aug,94.8,1.9,0.1,94.8,2.4,0.1,94.7,1.7,0.1,94.9,1.8,0.2
2017,Sep,94.6,1.4,-0.2,94.7,1.5,-0.1,94.4,1.3,-0.3,94.5,1.4,-0.4
2017,Oct,94.9,1.5,0.3,95.0,1.6,0.3,94.7,1.4,0.3,94.9,1.5,0.4
2017,Nov,95.2,1.6,0.3,95.3,1.5,0.3,95.0,1.5,0.3,95.2,1.7,0.4
2017,Dec,95.5,1.7,0.4,95.5,1.7,0.2,95.4,1.6,0.4,95.7,1.9,0.5
2018,Jan,95.5,1.7,-0.1,95.7,2.0,0.2,95.3,1.6,-0.1,95.4,1.5,-0.3
2018,Feb,96.7,3.1,1.3,96.8,3.1,1.2,96.5,3.0,1.3,96.7,3.2,1.4
2018,Mar,96.4,2.6,-0.3,96.7,2.8,-0.1,96.2,2.5,-0.3,96.2,2.5,-0.5
2018,Apr,96.3,1.9,-0.1,96.6,2.2,-0.1,96.1,1.8,-0.1,96.2,1.7,0.0
2018,May,96.4,2.1,0.0,96.7,2.3,0.0,96.2,2.0,0.1,96.2,1.9,0.0
2018,Jun,96.6,2.4,0.2,96.9,2.6,0.2,96.4,2.3,0.2,96.4,2.2,0.2
2018,Jul,96.9,2.4,0.4,97.1,2.5,0.3,96.7,2.3,0.4,96.9,2.3,0.6
2018,Aug,97.0,2.3,0.0,97.2,2.5,0.1,96.8,2.2,0.0,96.8,2.0,-0.1
2018,Sep,97.2,2.7,0.2,97.9,3.3,0.7,96.8,2.5,0.0,96.8,2.4,-0.1
2018,Oct,97.4,2.7,0.2,98.1,3.2,0.2,97.0,2.5,0.2,97.0,2.3,0.3
2018,Nov,97.6,2.6,0.2,98.1,3.0,0.1,97.2,2.4,0.2,97.4,2.3,0.4
2018,Dec,97.9,2.5,0.4,98.4,3.0,0.3,97.6,2.4,0.4,97.8,2.2,0.4
2019,Jan,97.8,2.4,-0.1,98.3,2.8,-0.1,97.5,2.3,-0.1,97.5,2.3,-0.3
2019,Feb,98.7,2.1,0.9,99.4,2.6,1.1,98.3,1.9,0.9,98.4,1.8,0.9
2019,Mar,98.4,2.1,-0.3,99.1,2.4,-0.3,98.1,1.9,-0.3,98.0,1.9,-0.4
2019,Apr,99.1,2.9,0.7,99.5,3.0,0.4,98.8,2.8,0.7,99.0,3.0,1.0
2019,May,99.0,2.8,-0.1,99.6,3.1,0.1,98.7,2.6,-0.1,98.7,2.7,-0.3
2019,Jun,99.7,3.3,0.7,100.7,3.9,1.0,99.3,3.0,0.6,99.1,2.9,0.4
2019,Jul,100.1,3.3,0.4,101.0,3.9,0.3,99.7,3.1,0.4,99.7,2.8,0.6
2019,Aug,100.3,3.5,0.2,101.2,4.1,0.2,99.9,3.2,0.2,99.8,3.0,0.1
2019,Sep,100.3,3.2,0.0,101.3,3.5,0.1,99.8,3.1,-0.1,99.7,3.0,-0.1
2019,Oct,100.6,3.1,0.2,101.8,3.5,0.2,100.1,3.1,0.2,99.9,2.9,0.1
2019,Nov,100.7,3.0,0.1,101.8,3.5,0.0,100.2,2.9,0.0,99.9,2.5,0.1
2019,Dec,100.7,2.9,0.1,101.9,3.4,0.1,100.2,2.9,0.1,100.0,2.5,0.1
2020,Jan,98.5,1.4,-2.2,95.6,-2.0,-6.2,99.7,2.8,-0.5,100.3,3.4,0.3
2020,Feb,101.0,2.2,2.5,101.9,2.7,6.6,100.6,2.1,0.8,100.3,1.8,0.0
2020,Mar,100.9,2.3,0.0,101.8,2.5,-0.2,100.6,2.3,0.0,100.3,2.1,0.0
2020,Apr,101.0,1.9,0.1,101.8,2.3,0.1,100.6,1.9,0.1,100.4,1.5,0.1
2020,May,100.7,1.5,-0.3,101.5,1.7,-0.3,100.3,1.5,-0.3,100.2,1.2,-0.2
2020,Jun,100.6,0.7,-0.1,101.4,0.6,-0.1,100.3,0.8,-0.1,100.0,0.7,-0.1
2020,Jul,97.7,-2.3,-2.8,94.8,-6.0,-6.5,98.9,-0.7,-1.3,99.5,-0.1,-0.5
